20230424_baseline_2 Sap_UP H2O_to 3200 nm-3 - RawData
Wavelength nm.,Abs.
1236.00,0.026
1237.00,0.026
1238.00,0.027
1239.00,0.028
1240.00,0.028
1241.00,0.029
1242.00,0.029
1243.00,0.028
1244.00,0.028
1245.00,0.027
1246.00,0.027
1247.00,0.027
1248.00,0.028
1249.00,0.028
1250.00,0.029
1251.00,0.028
1252.00,0.028
1253.00,0.028
1254.00,0.027
1255.00,0.026
1256.00,0.026
1257.00,0.026
1258.00,0.027
1259.00,0.027
1260.00,0.028
1261.00,0.028
1262.00,0.028
1263.00,0.027
1264.00,0.026
1265.00,0.025
1266.00,0.025
1267.00,0.025
1268.00,0.027
1269.00,0.028
1270.00,0.028
1271.00,0.029
1272.00,0.028
1273.00,0.028
1274.00,0.027
1275.00,0.026
1276.00,0.025
1277.00,0.025
1278.00,0.025
1279.00,0.026
1280.00,0.027
1281.00,0.028
1282.00,0.028
1283.00,0.028
1284.00,0.027
1285.00,0.026
1286.00,0.025
1287.00,0.025
1288.00,0.025
1289.00,0.025
1290.00,0.025
1291.00,0.026
1292.00,0.027
1293.00,0.026
1294.00,0.025
1295.00,0.025
1296.00,0.025
1297.00,0.025
1298.00,0.025
1299.00,0.026
1300.00,0.025
1301.00,0.024
1302.00,0.026
1303.00,0.027
1304.00,0.027
1305.00,0.027
1306.00,0.027
1307.00,0.027
1308.00,0.026
1309.00,0.026
1310.00,0.026
1311.00,0.026
1312.00,0.026
1313.00,0.027
1314.00,0.028
1315.00,0.029
1316.00,0.029
1317.00,0.029
1318.00,0.028
1319.00,0.028
1320.00,0.028
1321.00,0.028
1322.00,0.028
1323.00,0.028
1324.00,0.029
1325.00,0.030
1326.00,0.031
1327.00,0.031
1328.00,0.030
1329.00,0.029
1330.00,0.029
1331.00,0.029
1332.00,0.028
1333.00,0.029
1334.00,0.029
1335.00,0.030
1336.00,0.031
1337.00,0.030
1338.00,0.031
1339.00,0.031
1340.00,0.031
1341.00,0.031
1342.00,0.031
1343.00,0.031
1344.00,0.030
1345.00,0.031
1346.00,0.032
1347.00,0.033
1348.00,0.032
1349.00,0.031
1350.00,0.032
1351.00,0.032
1352.00,0.034
1353.00,0.033
1354.00,0.032
1355.00,0.032
1356.00,0.032
1357.00,0.033
1358.00,0.031
1359.00,0.032
1360.00,0.035
1361.00,0.036
1362.00,0.035
1363.00,0.032
1364.00,0.031
1365.00,0.032
1366.00,0.033
1367.00,0.035
1368.00,0.034
1369.00,0.034
1370.00,0.033
1371.00,0.034
1372.00,0.036
1373.00,0.036
1374.00,0.036
1375.00,0.037
1376.00,0.036
1377.00,0.035
1378.00,0.035
1379.00,0.036
1380.00,0.035
1381.00,0.038
1382.00,0.045
1383.00,0.045
1384.00,0.042
1385.00,0.042
1386.00,0.044
1387.00,0.047
1388.00,0.048
1389.00,0.048
1390.00,0.049
1391.00,0.052
1392.00,0.054
1393.00,0.054
1394.00,0.055
1395.00,0.056
1396.00,0.058
1397.00,0.060
1398.00,0.062
1399.00,0.065
1400.00,0.066
1401.00,0.067
1402.00,0.069
1403.00,0.071
1404.00,0.071
1405.00,0.071
1406.00,0.075
1407.00,0.077
1408.00,0.078
1409.00,0.078
1410.00,0.080
1411.00,0.084
1412.00,0.084
1413.00,0.085
1414.00,0.085
1415.00,0.085
1416.00,0.086
1417.00,0.087
1418.00,0.088
1419.00,0.088
1420.00,0.090
1421.00,0.090
1422.00,0.091
1423.00,0.092
1424.00,0.094
1425.00,0.096
1426.00,0.096
1427.00,0.096
1428.00,0.096
1429.00,0.096
1430.00,0.096
1431.00,0.097
1432.00,0.098
1433.00,0.099
1434.00,0.099
1435.00,0.099
1436.00,0.099
1437.00,0.100
1438.00,0.100
1439.00,0.101
1440.00,0.102
