20230424_F3_PCT-C3-SO3Na 2 mgml_H2SO4 0p01 N-2 - RawData
Wavelength nm.,Abs.
1560.00,0.140
1561.00,0.139
1562.00,0.139
1563.00,0.138
1564.00,0.139
1565.00,0.139
1566.00,0.139
1567.00,0.138
1568.00,0.138
1569.00,0.139
1570.00,0.138
1571.00,0.138
1572.00,0.139
1573.00,0.139
1574.00,0.139
1575.00,0.139
1576.00,0.140
1577.00,0.140
1578.00,0.141
1579.00,0.140
1580.00,0.140
1581.00,0.140
1582.00,0.140
1583.00,0.141
1584.00,0.141
1585.00,0.141
1586.00,0.141
1587.00,0.141
1588.00,0.140
1589.00,0.139
1590.00,0.140
1591.00,0.140
1592.00,0.140
1593.00,0.140
1594.00,0.141
1595.00,0.142
1596.00,0.142
1597.00,0.142
1598.00,0.142
1599.00,0.142
1600.00,0.141
1601.00,0.142
1602.00,0.143
1603.00,0.143
1604.00,0.142
1605.00,0.142
1606.00,0.143
1607.00,0.143
1608.00,0.141
1609.00,0.141
1610.00,0.142
1611.00,0.143
1612.00,0.142
1613.00,0.143
1614.00,0.144
1615.00,0.144
1616.00,0.144
1617.00,0.144
1618.00,0.145
1619.00,0.145
1620.00,0.145
1621.00,0.145
1622.00,0.146
1623.00,0.145
1624.00,0.145
1625.00,0.146
1626.00,0.145
1627.00,0.144
1628.00,0.145
1629.00,0.146
1630.00,0.146
1631.00,0.146
1632.00,0.147
1633.00,0.148
1634.00,0.147
1635.00,0.147
1636.00,0.148
1637.00,0.148
1638.00,0.147
1639.00,0.148
1640.00,0.148
1641.00,0.148
1642.00,0.148
1643.00,0.149
1644.00,0.149
1645.00,0.149
1646.00,0.149
1647.00,0.149
1648.00,0.149
1649.00,0.150
1650.00,0.152
1651.00,0.151
1652.00,0.152
1653.00,0.152
1654.00,0.152
1655.00,0.151
1656.00,0.151
1657.00,0.151
1658.00,0.151
1659.00,0.151
1660.00,0.151
1661.00,0.150
1662.00,0.152
1663.00,0.153
1664.00,0.153
1665.00,0.154
1666.00,0.154
1667.00,0.154
1668.00,0.154
1669.00,0.155
1670.00,0.155
1671.00,0.155
1672.00,0.156
1673.00,0.154
1674.00,0.154
1675.00,0.155
1676.00,0.155
1677.00,0.155
1678.00,0.156
1679.00,0.156
1680.00,0.156
1681.00,0.158
1682.00,0.158
1683.00,0.157
1684.00,0.158
1685.00,0.158
1686.00,0.157
1687.00,0.158
1688.00,0.159
1689.00,0.159
1690.00,0.159
1691.00,0.160
1692.00,0.160
1693.00,0.160
1694.00,0.161
1695.00,0.160
1696.00,0.160
1697.00,0.161
1698.00,0.161
1699.00,0.161
1700.00,0.163
1701.00,0.162
1702.00,0.162
1703.00,0.163
1704.00,0.163
1705.00,0.163
1706.00,0.165
1707.00,0.164
1708.00,0.164
1709.00,0.166
