20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
836.00,0.144
837.00,0.144
838.00,0.144
839.00,0.145
840.00,0.145
841.00,0.145
842.00,0.145
843.00,0.147
844.00,0.149
845.00,0.148
846.00,0.148
847.00,0.148
848.00,0.148
849.00,0.149
850.00,0.148
851.00,0.148
852.00,0.150
853.00,0.148
854.00,0.149
855.00,0.149
856.00,0.150
857.00,0.152
858.00,0.150
859.00,0.149
860.00,0.151
861.00,0.151
862.00,0.151
863.00,0.152
864.00,0.153
865.00,0.153
866.00,0.152
867.00,0.154
868.00,0.156
869.00,0.156
870.00,0.157
871.00,0.157
872.00,0.155
873.00,0.155
874.00,0.153
875.00,0.153
876.00,0.158
877.00,0.158
878.00,0.156
879.00,0.156
880.00,0.163
881.00,0.169
882.00,0.172
883.00,0.176
884.00,0.174
885.00,0.173
886.00,0.172
887.00,0.171
888.00,0.172
889.00,0.172
890.00,0.173
891.00,0.174
892.00,0.173
893.00,0.172
894.00,0.172
895.00,0.171
896.00,0.171
897.00,0.172
898.00,0.172
899.00,0.171
900.00,0.175
901.00,0.177
902.00,0.174
903.00,0.175
904.00,0.176
905.00,0.173
906.00,0.173
907.00,0.177
908.00,0.179
909.00,0.177
910.00,0.175
911.00,0.176
912.00,0.177
913.00,0.176
914.00,0.174
915.00,0.175
916.00,0.176
917.00,0.175
918.00,0.173
919.00,0.173
920.00,0.176
921.00,0.177
922.00,0.176
923.00,0.174
924.00,0.172
925.00,0.175
926.00,0.177
927.00,0.176
928.00,0.175
929.00,0.175
930.00,0.175
931.00,0.175
932.00,0.175
933.00,0.174
934.00,0.173
935.00,0.173
936.00,0.174
937.00,0.173
938.00,0.173
939.00,0.172
940.00,0.172
941.00,0.172
942.00,0.171
943.00,0.171
944.00,0.172
945.00,0.172
946.00,0.171
947.00,0.173
948.00,0.174
949.00,0.173
950.00,0.172
951.00,0.172
952.00,0.171
953.00,0.171
954.00,0.174
955.00,0.175
956.00,0.174
957.00,0.173
958.00,0.173
959.00,0.174
960.00,0.173
961.00,0.175
962.00,0.176
963.00,0.173
964.00,0.173
965.00,0.173
966.00,0.172
967.00,0.172
968.00,0.171
969.00,0.172
970.00,0.173
971.00,0.173
972.00,0.173
973.00,0.173
974.00,0.173
975.00,0.172
976.00,0.173
977.00,0.173
978.00,0.172
979.00,0.172
980.00,0.172
981.00,0.172
982.00,0.172
983.00,0.171
984.00,0.171
985.00,0.171
986.00,0.171
987.00,0.171
988.00,0.171
989.00,0.172
990.00,0.172
991.00,0.172
992.00,0.172
993.00,0.171
994.00,0.171
995.00,0.170
996.00,0.170
997.00,0.169
998.00,0.169
999.00,0.169
1000.00,0.170
1001.00,0.169
1002.00,0.167
1003.00,0.168
1004.00,0.168
1005.00,0.167
1006.00,0.167
1007.00,0.166
1008.00,0.166
1009.00,0.166
1010.00,0.166
1011.00,0.166
1012.00,0.165
1013.00,0.166
1014.00,0.166
1015.00,0.166
1016.00,0.165
1017.00,0.164
1018.00,0.164
1019.00,0.164
1020.00,0.164
1021.00,0.164
1022.00,0.163
1023.00,0.162
1024.00,0.161
1025.00,0.162
1026.00,0.162
1027.00,0.161
1028.00,0.162
1029.00,0.162
1030.00,0.161
1031.00,0.160
1032.00,0.159
1033.00,0.159
1034.00,0.159
1035.00,0.159
1036.00,0.157
1037.00,0.156
1038.00,0.156
1039.00,0.156
1040.00,0.156
1041.00,0.156
1042.00,0.155
1043.00,0.155
1044.00,0.155
1045.00,0.154
1046.00,0.154
1047.00,0.153
1048.00,0.153
1049.00,0.152
1050.00,0.152
1051.00,0.151
1052.00,0.150
1053.00,0.149
1054.00,0.148
1055.00,0.148
1056.00,0.148
1057.00,0.148
1058.00,0.149
1059.00,0.148
1060.00,0.147
1061.00,0.146
1062.00,0.146
1063.00,0.145
1064.00,0.145
1065.00,0.144
1066.00,0.142
1067.00,0.142
1068.00,0.142
1069.00,0.142
1070.00,0.142
1071.00,0.142
1072.00,0.141
1073.00,0.140
1074.00,0.139
1075.00,0.138
1076.00,0.137
1077.00,0.138
1078.00,0.138
1079.00,0.138
1080.00,0.137
1081.00,0.135
1082.00,0.135
1083.00,0.133
1084.00,0.133
1085.00,0.133
1086.00,0.133
1087.00,0.133
1088.00,0.133
1089.00,0.132
1090.00,0.131
1091.00,0.130
1092.00,0.129
1093.00,0.128
1094.00,0.128
1095.00,0.127
1096.00,0.126
1097.00,0.126
1098.00,0.125
1099.00,0.124
1100.00,0.124
1101.00,0.124
1102.00,0.124
1103.00,0.123
1104.00,0.122
1105.00,0.121
1106.00,0.120
1107.00,0.120
1108.00,0.120
1109.00,0.119
1110.00,0.117
1111.00,0.118
1112.00,0.118
1113.00,0.117
1114.00,0.115
1115.00,0.115
1116.00,0.116
1117.00,0.116
1118.00,0.116
1119.00,0.114
1120.00,0.114
1121.00,0.113
1122.00,0.112
1123.00,0.112
1124.00,0.111
1125.00,0.110
1126.00,0.110
1127.00,0.110
1128.00,0.110
1129.00,0.109
1130.00,0.108
1131.00,0.107
1132.00,0.107
1133.00,0.107
1134.00,0.107
1135.00,0.107
1136.00,0.107
1137.00,0.106
1138.00,0.106
1139.00,0.105
1140.00,0.106
1141.00,0.105
1142.00,0.104
1143.00,0.103
1144.00,0.103
1145.00,0.103
1146.00,0.103
1147.00,0.102
1148.00,0.102
1149.00,0.101
1150.00,0.100
1151.00,0.100
1152.00,0.101
1153.00,0.100
1154.00,0.100
1155.00,0.100
1156.00,0.100
1157.00,0.099
1158.00,0.098
1159.00,0.098
1160.00,0.097
1161.00,0.097
1162.00,0.098
1163.00,0.097
1164.00,0.096
1165.00,0.097
1166.00,0.096
1167.00,0.095
1168.00,0.094
1169.00,0.094
1170.00,0.094
1171.00,0.093
1172.00,0.093
1173.00,0.093
1174.00,0.094
1175.00,0.092
1176.00,0.091
1177.00,0.091
1178.00,0.091
1179.00,0.092
1180.00,0.090
1181.00,0.089
1182.00,0.089
1183.00,0.090
1184.00,0.090
1185.00,0.090
1186.00,0.089
1187.00,0.088
1188.00,0.088
1189.00,0.088
1190.00,0.087
1191.00,0.087
1192.00,0.087
1193.00,0.087
1194.00,0.087
1195.00,0.087
1196.00,0.086
1197.00,0.085
1198.00,0.087
1199.00,0.086
1200.00,0.085
1201.00,0.084
1202.00,0.083
1203.00,0.084
1204.00,0.084
1205.00,0.084
1206.00,0.084
1207.00,0.084
1208.00,0.084
1209.00,0.083
1210.00,0.083
1211.00,0.084
1212.00,0.083
1213.00,0.083
1214.00,0.083
1215.00,0.082
1216.00,0.082
1217.00,0.082
1218.00,0.082
1219.00,0.081
1220.00,0.082
1221.00,0.082
1222.00,0.081
1223.00,0.081
1224.00,0.082
1225.00,0.082
1226.00,0.082
1227.00,0.082
1228.00,0.082
1229.00,0.082
1230.00,0.082
1231.00,0.082
1232.00,0.081
1233.00,0.081
1234.00,0.081
1235.00,0.081
1236.00,0.081
1237.00,0.080
1238.00,0.080
1239.00,0.080
1240.00,0.081
1241.00,0.081
1242.00,0.081
1243.00,0.081
1244.00,0.081
1245.00,0.081
1246.00,0.081
1247.00,0.079
1248.00,0.079
1249.00,0.079
1250.00,0.079
1251.00,0.079
1252.00,0.079
1253.00,0.080
1254.00,0.080
1255.00,0.079
1256.00,0.079
1257.00,0.079
1258.00,0.078
1259.00,0.078
1260.00,0.078
1261.00,0.078
1262.00,0.078
1263.00,0.078
1264.00,0.078
1265.00,0.078
1266.00,0.078
1267.00,0.078
1268.00,0.078
1269.00,0.077
1270.00,0.078
1271.00,0.079
1272.00,0.079
1273.00,0.080
1274.00,0.080
1275.00,0.080
1276.00,0.078
1277.00,0.078
1278.00,0.077
1279.00,0.077
1280.00,0.077
1281.00,0.078
1282.00,0.079
1283.00,0.080
1284.00,0.080
1285.00,0.081
1286.00,0.080
1287.00,0.080
1288.00,0.079
1289.00,0.078
1290.00,0.078
1291.00,0.078
1292.00,0.079
1293.00,0.078
1294.00,0.079
1295.00,0.080
1296.00,0.080
1297.00,0.080
1298.00,0.079
1299.00,0.079
1300.00,0.079
1301.00,0.079
1302.00,0.079
1303.00,0.079
1304.00,0.079
1305.00,0.080
1306.00,0.080
1307.00,0.080
1308.00,0.081
1309.00,0.081
1310.00,0.082
1311.00,0.081
1312.00,0.081
1313.00,0.082
1314.00,0.082
1315.00,0.083
1316.00,0.083
1317.00,0.083
1318.00,0.084
1319.00,0.085
1320.00,0.085
1321.00,0.084
1322.00,0.084
1323.00,0.083
1324.00,0.083
1325.00,0.084
1326.00,0.085
1327.00,0.085
1328.00,0.085
1329.00,0.086
1330.00,0.086
1331.00,0.086
1332.00,0.086
1333.00,0.085
1334.00,0.085
1335.00,0.085
1336.00,0.085
1337.00,0.086
1338.00,0.087
1339.00,0.088
1340.00,0.088
1341.00,0.088
1342.00,0.088
1343.00,0.088
1344.00,0.088
1345.00,0.088
1346.00,0.088
1347.00,0.088
1348.00,0.089
1349.00,0.089
1350.00,0.089
1351.00,0.090
1352.00,0.090
1353.00,0.091
1354.00,0.091
1355.00,0.090
1356.00,0.091
1357.00,0.092
1358.00,0.092
1359.00,0.092
1360.00,0.094
1361.00,0.096
1362.00,0.095
1363.00,0.093
1364.00,0.091
1365.00,0.093
1366.00,0.092
1367.00,0.094
1368.00,0.096
1369.00,0.097
1370.00,0.096
1371.00,0.096
1372.00,0.097
1373.00,0.097
1374.00,0.097
1375.00,0.098
1376.00,0.099
1377.00,0.099
1378.00,0.099
1379.00,0.103
1380.00,0.102
1381.00,0.100
1382.00,0.105
1383.00,0.108
1384.00,0.105
1385.00,0.106
1386.00,0.107
1387.00,0.109
1388.00,0.111
1389.00,0.111
1390.00,0.112
1391.00,0.113
1392.00,0.117
1393.00,0.121
1394.00,0.122
1395.00,0.124
1396.00,0.126
1397.00,0.128
1398.00,0.129
1399.00,0.131
1400.00,0.133
1401.00,0.135
1402.00,0.136
1403.00,0.139
1404.00,0.140
1405.00,0.139
1406.00,0.142
1407.00,0.145
1408.00,0.147
1409.00,0.149
1410.00,0.148
1411.00,0.149
1412.00,0.151
1413.00,0.154
1414.00,0.155
1415.00,0.155
1416.00,0.155
1417.00,0.157
1418.00,0.159
1419.00,0.160
1420.00,0.160
1421.00,0.160
1422.00,0.161
1423.00,0.162
1424.00,0.163
1425.00,0.165
1426.00,0.166
1427.00,0.165
1428.00,0.167
1429.00,0.168
1430.00,0.168
1431.00,0.169
1432.00,0.170
1433.00,0.172
1434.00,0.173
1435.00,0.173
1436.00,0.174
1437.00,0.174
1438.00,0.174
1439.00,0.174
1440.00,0.174
1441.00,0.175
1442.00,0.176
1443.00,0.176
1444.00,0.177
1445.00,0.177
1446.00,0.179
1447.00,0.178
1448.00,0.178
1449.00,0.178
1450.00,0.178
1451.00,0.178
1452.00,0.178
1453.00,0.178
1454.00,0.179
1455.00,0.179
1456.00,0.180
1457.00,0.180
1458.00,0.180
1459.00,0.180
1460.00,0.180
1461.00,0.180
1462.00,0.180
1463.00,0.180
1464.00,0.179
1465.00,0.179
1466.00,0.179
1467.00,0.178
1468.00,0.178
1469.00,0.178
1470.00,0.177
1471.00,0.177
1472.00,0.176
1473.00,0.176
1474.00,0.177
1475.00,0.176
1476.00,0.176
1477.00,0.175
1478.00,0.174
1479.00,0.173
1480.00,0.173
1481.00,0.172
1482.00,0.171
1483.00,0.171
1484.00,0.171
1485.00,0.171
1486.00,0.171
1487.00,0.170
1488.00,0.169
1489.00,0.169
1490.00,0.168
1491.00,0.167
1492.00,0.167
1493.00,0.167
1494.00,0.166
1495.00,0.166
1496.00,0.165
1497.00,0.164
1498.00,0.164
1499.00,0.163
1500.00,0.163
1501.00,0.163
1502.00,0.162
1503.00,0.161
1504.00,0.161
1505.00,0.161
1506.00,0.160
1507.00,0.160
1508.00,0.160
1509.00,0.159
1510.00,0.158
1511.00,0.158
1512.00,0.157
1513.00,0.157
1514.00,0.157
1515.00,0.157
1516.00,0.157
1517.00,0.156
1518.00,0.155
1519.00,0.155
1520.00,0.154
1521.00,0.153
1522.00,0.153
1523.00,0.154
1524.00,0.153
1525.00,0.153
1526.00,0.153
1527.00,0.153
1528.00,0.152
1529.00,0.151
1530.00,0.152
1531.00,0.151
1532.00,0.151
1533.00,0.151
1534.00,0.150
1535.00,0.151
1536.00,0.151
1537.00,0.151
1538.00,0.150
1539.00,0.150
1540.00,0.150
1541.00,0.150
1542.00,0.150
1543.00,0.150
1544.00,0.150
1545.00,0.150
1546.00,0.149
1547.00,0.149
1548.00,0.148
1549.00,0.147
1550.00,0.148
1551.00,0.149
1552.00,0.149
1553.00,0.149
1554.00,0.149
1555.00,0.149
1556.00,0.149
1557.00,0.149
1558.00,0.148
1559.00,0.148
1560.00,0.148
1561.00,0.148
1562.00,0.148
1563.00,0.148
1564.00,0.148
1565.00,0.148
1566.00,0.148
1567.00,0.148
1568.00,0.148
1569.00,0.148
1570.00,0.148
1571.00,0.148
1572.00,0.149
1573.00,0.148
1574.00,0.149
1575.00,0.149
1576.00,0.150
1577.00,0.149
1578.00,0.149
1579.00,0.149
1580.00,0.149
1581.00,0.149
1582.00,0.150
1583.00,0.150
1584.00,0.150
1585.00,0.150
1586.00,0.150
1587.00,0.150
1588.00,0.150
1589.00,0.149
1590.00,0.150
1591.00,0.150
1592.00,0.150
1593.00,0.150
1594.00,0.150
1595.00,0.151
1596.00,0.150
